_time,T1--Temp_01_Lid,T1--Temp_02_SideWall,T1--Temp_03_Handle,T1--Temp_04_InnerWall,T1--Temp_05_Ambient_Temp
2026-03-17T08:45:32.152Z,31.588,34.85,38.587,31.624,31.125
2026-03-17T08:45:32.665Z,31.588,34.85,38.587,31.624,31.125
2026-03-17T08:45:33.176Z,31.588,34.85,38.587,31.624,31.125
2026-03-17T08:45:33.688Z,31.573,34.892,38.36,31.624,31.128
2026-03-17T08:45:34.201Z,31.573,34.892,38.36,31.624,31.128
2026-03-17T08:45:34.714Z,31.573,34.892,38.36,31.624,31.128
2026-03-17T08:45:35.231Z,31.573,34.892,38.36,31.624,31.128
2026-03-17T08:45:35.822Z,31.57,34.961,39.154,31.639,31.122
2026-03-17T08:45:36.394Z,31.57,34.961,39.154,31.639,31.122
2026-03-17T08:45:36.964Z,31.57,34.961,39.154,31.639,31.122
2026-03-17T08:45:37.479Z,31.57,34.961,39.154,31.639,31.122
2026-03-17T08:45:37.991Z,31.583,35.022,38.927,31.647,31.125
2026-03-17T08:45:38.501Z,31.583,35.022,38.927,31.647,31.125
2026-03-17T08:45:39.014Z,31.583,35.022,38.927,31.647,31.125
2026-03-17T08:45:39.524Z,31.583,35.022,38.927,31.647,31.125
2026-03-17T08:45:40.042Z,31.578,35.064,38.66,31.653,31.101
2026-03-17T08:45:40.627Z,31.578,35.064,38.66,31.653,31.101
2026-03-17T08:45:41.164Z,31.578,35.064,38.66,31.653,31.101
2026-03-17T08:45:41.675Z,31.578,35.064,38.66,31.653,31.101
2026-03-17T08:45:42.186Z,31.565,35.127,38.916,31.653,31.135
2026-03-17T08:45:42.701Z,31.565,35.127,38.916,31.653,31.135
2026-03-17T08:45:43.213Z,31.565,35.127,38.916,31.653,31.135
2026-03-17T08:45:43.721Z,31.565,35.127,38.916,31.653,31.135
2026-03-17T08:45:44.233Z,31.581,35.166,39.506,31.668,31.135
2026-03-17T08:45:44.82Z,31.581,35.166,39.506,31.668,31.135
2026-03-17T08:45:45.36Z,31.581,35.166,39.506,31.668,31.135
2026-03-17T08:45:45.872Z,31.57,35.223,39.175,31.658,31.12
2026-03-17T08:45:46.385Z,31.57,35.223,39.175,31.658,31.12
2026-03-17T08:45:46.974Z,31.57,35.223,39.175,31.658,31.12
2026-03-17T08:45:47.549Z,31.57,35.223,39.175,31.658,31.12
2026-03-17T08:45:48.126Z,31.586,35.263,39.123,31.682,31.13
2026-03-17T08:45:48.644Z,31.586,35.263,39.123,31.682,31.13
2026-03-17T08:45:49.15Z,31.586,35.263,39.123,31.682,31.13
2026-03-17T08:45:49.662Z,31.586,35.263,39.123,31.682,31.13
2026-03-17T08:45:50.171Z,31.575,35.315,39.258,31.687,31.133
2026-03-17T08:45:50.687Z,31.575,35.315,39.258,31.687,31.133
2026-03-17T08:45:51.195Z,31.575,35.315,39.258,31.687,31.133
2026-03-17T08:45:51.71Z,31.575,35.315,39.258,31.687,31.133
2026-03-17T08:45:52.227Z,31.57,35.385,39.624,31.713,31.125
2026-03-17T08:45:52.736Z,31.57,35.385,39.624,31.713,31.125
2026-03-17T08:45:53.248Z,31.57,35.385,39.624,31.713,31.125
2026-03-17T08:45:53.761Z,31.57,35.385,39.624,31.713,31.125
2026-03-17T08:45:54.267Z,31.573,35.432,39.817,31.708,31.112
2026-03-17T08:45:54.781Z,31.573,35.432,39.817,31.708,31.112
2026-03-17T08:45:55.293Z,31.573,35.432,39.817,31.708,31.112
2026-03-17T08:45:55.804Z,31.573,35.432,39.817,31.708,31.112
2026-03-17T08:45:56.317Z,31.575,35.55,39.556,31.713,31.13
2026-03-17T08:45:56.83Z,31.575,35.55,39.556,31.713,31.13
2026-03-17T08:45:57.339Z,31.575,35.55,39.556,31.713,31.13
2026-03-17T08:45:57.852Z,31.575,35.55,39.556,31.713,31.13
2026-03-17T08:45:58.366Z,31.583,35.599,40.428,31.727,31.109
2026-03-17T08:45:58.875Z,31.583,35.599,40.428,31.727,31.109
2026-03-17T08:45:59.389Z,31.583,35.599,40.428,31.727,31.109
2026-03-17T08:45:59.9Z,31.583,35.599,40.428,31.727,31.109
2026-03-17T08:46:00.414Z,31.578,35.646,39.835,31.724,31.12
2026-03-17T08:46:00.929Z,31.578,35.646,39.835,31.724,31.12
2026-03-17T08:46:01.435Z,31.578,35.646,39.835,31.724,31.12
2026-03-17T08:46:01.947Z,31.578,35.646,39.835,31.724,31.12
2026-03-17T08:46:02.543Z,31.578,35.696,40.238,31.753,31.117
2026-03-17T08:46:03.078Z,31.578,35.696,40.238,31.753,31.117
